start_place_name,end_place_name,month,count
Assistentinpolku,Föri ,2019-05,5
Assistentinpolku,Föri ,2019-06,1
Assistentinpolku,Föri ,2019-07,2
Assistentinpolku,Föri ,2019-08,11
Assistentinpolku,Föri ,2019-09,8
Assistentinpolku,Föri ,2019-10,9
Assistentinpolku,Föri ,2019-11,8
Assistentinpolku,Föri ,2019-12,2
Assistentinpolku,Föri ,2020-01,9
Assistentinpolku,Föri ,2020-02,12
Assistentinpolku,Föri ,2020-03,5
Assistentinpolku,Föri ,2020-04,1
Assistentinpolku,Humalistonkatu,2018-05,1
Assistentinpolku,Humalistonkatu,2018-06,2
Assistentinpolku,Humalistonkatu,2018-07,1
Assistentinpolku,Humalistonkatu,2018-08,5
Assistentinpolku,Humalistonkatu,2018-09,7
Assistentinpolku,Humalistonkatu,2018-10,16
Assistentinpolku,Humalistonkatu,2018-11,13
Assistentinpolku,Humalistonkatu,2018-12,6
Assistentinpolku,Humalistonkatu,2019-01,12
Assistentinpolku,Humalistonkatu,2019-02,9
Assistentinpolku,Humalistonkatu,2019-03,26
Assistentinpolku,Humalistonkatu,2019-04,18
Assistentinpolku,Humalistonkatu,2019-05,31
Assistentinpolku,Humalistonkatu,2019-06,9
Assistentinpolku,Humalistonkatu,2019-07,6
Assistentinpolku,Humalistonkatu,2019-08,13
Assistentinpolku,Humalistonkatu,2019-09,14
Assistentinpolku,Humalistonkatu,2019-10,23
Assistentinpolku,Humalistonkatu,2019-11,10
Assistentinpolku,Humalistonkatu,2019-12,8
Assistentinpolku,Humalistonkatu,2020-01,10
Assistentinpolku,Humalistonkatu,2020-02,8
Assistentinpolku,Humalistonkatu,2020-03,3
Assistentinpolku,Hämeenkatu,2018-05,30
Assistentinpolku,Hämeenkatu,2018-06,34
Assistentinpolku,Hämeenkatu,2018-07,17
Assistentinpolku,Hämeenkatu,2018-08,35
Assistentinpolku,Hämeenkatu,2018-09,81
Assistentinpolku,Hämeenkatu,2018-10,79
Assistentinpolku,Hämeenkatu,2018-11,76
Assistentinpolku,Hämeenkatu,2018-12,31
Assistentinpolku,Hämeenkatu,2019-01,21
Assistentinpolku,Hämeenkatu,2019-02,21
Assistentinpolku,Hämeenkatu,2019-03,27
Assistentinpolku,Hämeenkatu,2019-04,70
Assistentinpolku,Hämeenkatu,2019-05,36
Assistentinpolku,Hämeenkatu,2019-06,28
Assistentinpolku,Hämeenkatu,2019-07,25
Assistentinpolku,Hämeenkatu,2019-08,22
Assistentinpolku,Hämeenkatu,2019-09,39
Assistentinpolku,Hämeenkatu,2019-10,34
Assistentinpolku,Hämeenkatu,2019-11,29
Assistentinpolku,Hämeenkatu,2019-12,12
Assistentinpolku,Hämeenkatu,2020-01,16
Assistentinpolku,Hämeenkatu,2020-02,19
Assistentinpolku,Hämeenkatu,2020-03,4
Assistentinpolku,Hämeenkatu,2020-04,2
Assistentinpolku,Ikituuri,2018-05,92
Assistentinpolku,Ikituuri,2018-06,61
Assistentinpolku,Ikituuri,2018-07,36
Assistentinpolku,Ikituuri,2018-08,62
Assistentinpolku,Ikituuri,2018-09,92
Assistentinpolku,Ikituuri,2018-10,112
Assistentinpolku,Ikituuri,2018-11,71
Assistentinpolku,Ikituuri,2018-12,38
Assistentinpolku,Ikituuri,2019-01,29
Assistentinpolku,Ikituuri,2019-02,32
Assistentinpolku,Ikituuri,2019-03,50
Assistentinpolku,Ikituuri,2019-04,82
Assistentinpolku,Ikituuri,2019-05,72
Assistentinpolku,Ikituuri,2019-06,38
